PFIP17-07;7900-1232/2018-7;33;2;Produccion de especies forestales y arbustivas de zonas aridas y semiaridas a partir de la reutilizacion de lodos activados de la planta de tratamiento de afluentes cloacales de la ciudad de Plottier.;2285000;1599500;685500;Municipalidad de Plottier;Municipalidad de Plottier
PFIP17-08;7900-1232/2018-8;33;1;Nueva tecnologia en plantas de tratamiento de efluentes y potabilizacion de agua;3080800;2000000;1080800;ECOKIT SRL;"UTN- Facultad Regional de Neuquen; Ecokit SRL"
PFIP17-09;7900-1232/ 2018-9;33;1;Desarrollo de una plataforma de produccion de  vacunas orales para la acuicultura;4161006;2905006;1256000;Zampa S.A;Zampa S.A
PFESPE17-01;7900-1232/ 2018-10;35;1;Innovacion en la gestion de procesos para la disminucion de riesgos asociados a la salud y al cuidado del medioambiente en la cria intensiva de ganado.;2359389;1647000;712389;Ministerio de Salud y Desarrollo Social;"Ministerio de Salud y Desarrollo Social de la Pov. De Neuquen; Facultad de Bromatologia- Univ. de Entre Rios ; Servicio de Fisiopatogenia- INEI/ANLIS Malbran"
PFESPR17-01;9000-2/2018- 1;30;1;Laboratorio de mejoramiento genetico porcino para la Patagonia;6134900;4156000;1978900;Fundacion Familia ;Centro PYME ADENEU 
PFESPR17-02;9000-2/2018-2;30;1;Valorizacion de Efluentes de la Industria Ganadera para obtener biomasa en madera para diversos usos locales en municipios neuquinos.;2746000;1922000;824000;Municipalidad de Buta Ranquil, Alumine y Andacollo;"Municipalidad de Buta Ranquil, Alumine y Andacollo; Unidad Provincial de Enlace y Ejecucion de Proyectos con Financiamiento Eterno; Instituto de las Tecnologias del Agua y Medioambiente- Unive. Nacional del Comahue."
PFESPR17-03;9000-2/ 2018-3;30;60;Desarrollo y produccion de especies nativas y no nativas adaptadas a zonas aridas, con fines forrajeros y de restauracion ecologica, y diversificacion de la matriz productiva de la AFR Challa Có.;2120000;1484200;635800;Asociacion de Fomento Rural Challa Có ;"Asociacion de Fomento Rural Challa Có ; UNCo; Facultad de Cs. Del Ambiente y Salud ; Laboratorio de Rehabilitacion y Restauracion de Ecosistemas Aridos y Semiaridos "
PFESPR17-04;9000-2/ 2018-4;30;1;Innovacion en la gestion de la calidad de la cerveza ;6197571,43;4338300;1859271,43;Instituto Nacional de Tecnologia Industrial ( Centro Regional de Neuquen);INTI 
VIT17-01;;36;1;VITEF - NEUQUEN;528000;422400;105600;IVAN JAVIER SANTONI AYALA;Secretaría de Planificación y Acción para el Desarrollo – COPADE – Gobierno de la Provincia del Neuquén
PFESPR17-05;;30;336;Desarrollo y adopcion de la tecnologia de pastoreo directo de remolacha forrajera para engorde de ganado bovino de carne;8137725;5682186;2455539;INTA;INTA- Universidad Nacional de Rio Negro- KWS Argentina- Empresas: Trapalco, Don Maineri, Montefiori, Huechahue- Centro PYME-Matadero Municipal Luis Beltran
DET17-07;9000-000027/18;31;3; Fortalecimiento de la sala de elaboracion comunitaria de productos alimenticios de Vista Alegre ;1004490;700590;303900;Municipalidad de Vista Alegre;Municipalidad de Vista Alegre, Universidad Nacional del Comahue
ASE17-08;7900-1231/18-5;32;1;Neuquen , travesia virtual;1000000;700000;300000;Direccion provincial de Desarrollo Turistico. Subsecretaria de Turismo.;Direccion provincial de Desarrollo Turistico. Subsecretaria de Turismo.
